sign,num_beats,num_quarter_notes,relative_measure_duration,symbols,MUSIC,COMMENTS
O2,3,8,1/2,,Jos0401d,I'm not sure why this one wasn't on the list: I've just added it.
C|,2,8,1/2,,Jos2721,
O,3,12,1,,Jos2405,
C,2,8,2/3,,Mar2020,
3,3,12,1/2,,Mar3020,
O|,3,12,3/4,,Rue1005e,
C|3,3,12,1,C|;3;,Rue1007d,
O/3,3,8,1/2,;O;3,Jap3009,
C.,2,12,1,,Bus1001a,"This is effectively ""compound time,"" with the dotted whole note getting the beat. (6/2, like our modern 6/8)."
O.,3,18,3/2,,Bus1001b,as above
3/2,3,12,,;3;2,Jos1903,
C|2,2,16,1/2,C|;2;,Ort2004,Time signature is 2 double whole notes (!) per measure.
2,2,16,1/2,,Jos0402e,"depends on the context, but this is probably right. Worth double-checking"
O3/2,3,12,1,O;3;2,Tin1001c,
O|3/2,3,12,1/2,O|;3;2,Jos0903b,
O|3,3,12,1/2,O|;3;,Jos0903b,
C.3/2,2,12,,C.;3;2,Mar2079,
C|/3,3,12,1/2,;C|;3,Jos0406d,
C|/2,2,16,1/2,;C|;2,Jos0902d,
C2/3,2,8,,C;2;3,Tin1001b,
2/1,2,16,1/2,;2;1,Tin1001a,
C|r,2,16,1/2,,Bus1001c,"Ah, this is reverse C, which means 4:3 relative to C."
4/3,2,16,1/2,;4;3,Tin2001,
C.3/8,2,12,1/2,C.;3;8,Tin1001e,
2/3,2,8,1/2,;2;3,Tin2001,
C3,2,8,1/2,,Gas2017a,
O3,,,,,Bru2012,
Cr,,,,,Rue1001b,
C.|,,,,,Ock1013e,
C|.,,,,,Ock1008b,
6/4,,,,,Tin3006,
14/18,,,,,Tin3006,
