pitch,pitchName,time,duration,voice
28,C4,32,1,Superius
29,D4,33,1,Superius
30,E4,34,1,Superius
31,F4,35,1,Superius
32,G4,36,2,Superius
33,A4,38,3,Superius
32,G4,41,1,Superius
35,C5,42,4,Superius
34,B4,46,2,Superius
35,C5,48,6,Superius
34,B4,54,1,Superius
33,A4,55,1,Superius
35,C5,56,2,Superius
36,D5,58,2,Superius
34,B4,60,2,Superius
35,C5,62,3,Superius
34,B4,65,1,Superius
33,A4,66,1,Superius
32,G4,67,1,Superius
33,A4,68,2,Superius
35,C5,70,3,Superius
34,B4,73,1,Superius
33,A4,74,1,Superius
32,G4,75,1,Superius
33,A4,76,2,Superius
35,C5,78,3,Superius
34,B4,81,1,Superius
33,A4,82,1,Superius
32,G4,83,1,Superius
33,A4,84,4,Superius
32,G4,88,16,Superius
28,C4,116,4,Superius
29,D4,120,3,Superius
28,C4,123,1,Superius
29,D4,124,2,Superius
30,E4,126,2,Superius
31,F4,128,8,Superius
29,D4,148,4,Superius
30,E4,152,3,Superius
29,D4,155,1,Superius
30,E4,156,2,Superius
31,F4,158,2,Superius
32,G4,160,8,Superius
32,G4,180,4,Superius
33,A4,184,3,Superius
32,G4,187,1,Superius
33,A4,188,2,Superius
34,B4,190,2,Superius
35,C5,192,4,Superius
36,D5,196,6,Superius
35,C5,202,2,Superius
34,B4,204,2,Superius
33,A4,206,2,Superius
32,G4,208,4,Superius
35,C5,212,6,Superius
34,B4,218,1,Superius
33,A4,219,1,Superius
34,B4,220,4,Superius
33,A4,226,3,Superius
32,G4,229,1,Superius
33,A4,230,1,Superius
34,B4,231,1,Superius
35,C5,232,2,Superius
36,D5,234,2,Superius
32,G4,238,3,Superius
31,F4,241,1,Superius
32,G4,242,1,Superius
33,A4,243,1,Superius
34,B4,244,2,Superius
35,C5,246,2,Superius
31,F4,250,3,Superius
30,E4,253,1,Superius
31,F4,254,1,Superius
32,G4,255,1,Superius
33,A4,256,2,Superius
34,B4,258,2,Superius
30,E4,262,3,Superius
29,D4,265,1,Superius
30,E4,266,1,Superius
31,F4,267,1,Superius
32,G4,268,2,Superius
33,A4,270,2,Superius
29,D4,274,3,Superius
28,C4,277,1,Superius
29,D4,278,1,Superius
30,E4,279,1,Superius
31,F4,280,2,Superius
32,G4,282,2,Superius
28,C4,284,4,Superius
29,D4,288,4,Superius
30,E4,292,2,Superius
28,C4,294,3,Superius
29,D4,297,1,Superius
30,E4,298,1,Superius
31,F4,299,1,Superius
32,G4,300,2,Superius
28,C4,302,3,Superius
29,D4,305,1,Superius
30,E4,306,1,Superius
31,F4,307,1,Superius
32,G4,308,2,Superius
33,A4,310,2,Superius
28,C4,314,3,Superius
29,D4,317,1,Superius
30,E4,318,1,Superius
31,F4,319,1,Superius
32,G4,320,2,Superius
33,A4,322,2,Superius
34,B4,324,2,Superius
35,C5,326,2,Superius
36,D5,328,2,Superius
37,E5,330,3,Superius
36,D5,333,1,Superius
37,E5,334,1,Superius
38,F5,335,1,Superius
37,E5,336,3,Superius
36,D5,339,1,Superius
37,E5,340,1,Superius
38,F5,341,1,Superius
37,E5,342,3,Superius
36,D5,345,1,Superius
37,E5,346,1,Superius
38,F5,347,1,Superius
37,E5,348,1,Superius
36,D5,349,1,Superius
35,C5,350,1,Superius
34,B4,351,1,Superius
33,A4,352,2,Superius
32,G4,354,4,Superius
35,C5,358,4,Superius
34,B4,362,2,Superius
35,C5,364,4,Superius
21,C3,16,1,Tenor
22,D3,17,1,Tenor
23,E3,18,1,Tenor
24,F3,19,1,Tenor
25,G3,20,2,Tenor
26,A3,22,3,Tenor
25,G3,25,1,Tenor
28,C4,26,4,Tenor
27,B3,30,2,Tenor
28,C4,32,12,Tenor
29,D4,44,4,Tenor
30,E4,48,6,Tenor
29,D4,54,2,Tenor
30,E4,56,2,Tenor
31,F4,58,2,Tenor
32,G4,60,2,Tenor
30,E4,62,2,Tenor
31,F4,64,6,Tenor
30,E4,70,2,Tenor
31,F4,72,6,Tenor
30,E4,78,2,Tenor
31,F4,80,2,Tenor
32,G4,82,4,Tenor
31,F#4,86,2,Tenor
32,G4,88,8,Tenor
25,G3,100,4,Tenor
26,A3,104,3,Tenor
25,G3,107,1,Tenor
26,A3,108,2,Tenor
27,B3,110,2,Tenor
28,C4,112,8,Tenor
26,A3,132,4,Tenor
27,B3,136,3,Tenor
26,A3,139,1,Tenor
27,B3,140,2,Tenor
28,C4,142,2,Tenor
29,D4,144,8,Tenor
27,B3,164,4,Tenor
28,C4,168,3,Tenor
27,B3,171,1,Tenor
28,C4,172,2,Tenor
29,D4,174,2,Tenor
30,E4,176,8,Tenor
29,D4,184,6,Tenor
28,C4,190,1,Tenor
27,B3,191,1,Tenor
26,A3,192,4,Tenor
25,G3,196,4,Tenor
32,G4,200,6,Tenor
31,F4,206,2,Tenor
30,E4,208,2,Tenor
29,D4,210,2,Tenor
28,C4,212,4,Tenor
29,D4,216,6,Tenor
30,E4,222,2,Tenor
31,F4,224,12,Tenor
30,E4,236,12,Tenor
29,D4,248,12,Tenor
28,C4,260,12,Tenor
27,B3,272,12,Tenor
26,A3,284,4,Tenor
25,G3,288,4,Tenor
28,C4,292,3,Tenor
29,D4,295,1,Tenor
30,E4,296,2,Tenor
28,C4,298,3,Tenor
29,D4,301,1,Tenor
30,E4,302,1,Tenor
31,F4,303,1,Tenor
32,G4,304,4,Tenor
30,E4,308,2,Tenor
31,F4,310,2,Tenor
32,G4,312,4,Tenor
28,C4,316,3,Tenor
29,D4,319,1,Tenor
30,E4,320,2,Tenor
31,F4,322,2,Tenor
32,G4,324,4,Tenor
25,G3,328,2,Tenor
28,C4,330,3,Tenor
27,B3,333,1,Tenor
28,C4,334,1,Tenor
29,D4,335,1,Tenor
30,E4,336,1,Tenor
29,D4,337,1,Tenor
30,E4,338,1,Tenor
31,F4,339,1,Tenor
32,G4,340,4,Tenor
33,A4,344,4,Tenor
32,G4,348,2,Tenor
33,A4,350,2,Tenor
31,F4,352,2,Tenor
32,G4,354,2,Tenor
30,E4,356,2,Tenor
31,F4,358,2,Tenor
29,D4,360,4,Tenor
28,C4,364,4,Tenor
21,C3,0,1,Contra
22,D3,1,1,Contra
23,E3,2,1,Contra
24,F3,3,1,Contra
25,G3,4,2,Contra
26,A3,6,3,Contra
25,G3,9,1,Contra
28,C4,10,4,Contra
27,B3,14,2,Contra
28,C4,16,4,Contra
24,F3,22,4,Contra
23,E3,26,2,Contra
22,D3,28,4,Contra
21,C3,32,3,Contra
22,D3,35,1,Contra
23,E3,36,2,Contra
24,F3,38,3,Contra
23,E3,41,1,Contra
26,A3,42,2,Contra
25,G3,44,4,Contra
21,C3,48,4,Contra
26,A3,56,4,Contra
25,G3,60,2,Contra
26,A3,62,3,Contra
25,G3,65,1,Contra
24,F3,66,1,Contra
23,E3,67,1,Contra
22,D3,68,2,Contra
26,A3,70,3,Contra
25,G3,73,1,Contra
24,F3,74,1,Contra
23,E3,75,1,Contra
22,D3,76,2,Contra
26,A3,78,3,Contra
25,G3,81,1,Contra
24,F3,82,1,Contra
23,E3,83,1,Contra
22,D3,84,4,Contra
25,G3,88,3,Contra
26,A3,91,1,Contra
27,B3,92,2,Contra
28,C4,94,2,Contra
25,G3,96,3,Contra
26,A3,99,1,Contra
27,B3,100,2,Contra
23,E3,102,2,Contra
24,F3,104,3,Contra
23,E3,107,1,Contra
22,D3,108,4,Contra
26,A3,112,8,Contra
25,G3,120,8,Contra
24,F3,128,8,Contra
23,E3,136,8,Contra
27,B3,144,8,Contra
26,A3,152,8,Contra
25,G3,160,8,Contra
24,F3,168,8,Contra
23,E3,176,8,Contra
22,D3,188,4,Contra
26,A3,192,4,Contra
27,B3,196,4,Contra
25,G3,200,6,Contra
26,A3,206,1,Contra
27,B3,207,1,Contra
28,C4,208,4,Contra
26,A3,212,4,Contra
25,G3,216,8,Contra
22,D3,224,3,Contra
21,C3,227,1,Contra
22,D3,228,1,Contra
23,E3,229,1,Contra
24,F3,230,1,Contra
25,G3,231,1,Contra
26,A3,232,2,Contra
27,B3,234,2,Contra
28,C4,236,2,Contra
21,C3,238,1,Contra
20,B2,239,1,Contra
21,C3,240,1,Contra
22,D3,241,1,Contra
23,E3,242,1,Contra
24,F3,243,1,Contra
25,G3,244,2,Contra
26,A3,246,2,Contra
27,B3,248,2,Contra
20,B2,250,1,Contra
19,A2,251,1,Contra
20,B2,252,1,Contra
21,C3,253,1,Contra
22,D3,254,1,Contra
23,E3,255,1,Contra
24,F3,256,2,Contra
25,G3,258,2,Contra
26,A3,260,3,Contra
25,G3,263,1,Contra
26,A3,264,1,Contra
27,B3,265,1,Contra
28,C4,266,1,Contra
29,D4,267,1,Contra
30,E4,268,2,Contra
26,A3,270,2,Contra
27,B3,272,1,Contra
26,A3,273,1,Contra
25,G3,274,1,Contra
24,F3,275,1,Contra
25,G3,276,1,Contra
26,A3,277,1,Contra
27,B3,278,1,Contra
28,C4,279,1,Contra
29,D4,280,2,Contra
25,G3,282,2,Contra
26,A3,284,2,Contra
28,C4,286,4,Contra
27,B3,290,2,Contra
28,C4,292,2,Contra
26,A3,294,2,Contra
28,C4,296,3,Contra
29,D4,299,1,Contra
30,E4,300,1,Contra
31,F4,301,1,Contra
32,G4,302,2,Contra
28,C4,306,3,Contra
27,B3,309,1,Contra
26,A3,310,2,Contra
25,G3,312,2,Contra
32,G4,314,3,Contra
31,F4,317,1,Contra
30,E4,318,1,Contra
29,D4,319,1,Contra
28,C4,320,1,Contra
27,B3,321,1,Contra
26,A3,322,2,Contra
25,G3,324,2,Contra
26,A3,326,2,Contra
27,B3,328,2,Contra
28,C4,330,2,Contra
28,C4,334,12,Contra
24,F3,346,2,Contra
28,C4,348,2,Contra
26,A3,350,2,Contra
29,D4,352,2,Contra
25,G3,354,2,Contra
28,C4,356,2,Contra
24,F3,358,2,Contra
25,G3,360,4,Contra
21,C3,364,4,Contra
